0,0,0,0,0,0,14
0.25,0,0,0,0,0,13.573
0.75,0,0,0,0,0,12.72
0,0.25,0,0,0,0,13.573
0.25,0.25,0,0,0,0,13.146
0.75,0.25,0,0,0,0,12.293
0,0.75,0,0,0,0,12.72
0.25,0.75,0,0,0,0,12.293
0.75,0.75,0,0,0,0,11.439
0,0,0.25,0,0,0,13.573
0.25,0,0.25,0,0,0,13.146
0.75,0,0.25,0,0,0,12.293
0,0.25,0.25,0,0,0,13.146
0.25,0.25,0.25,0,0,0,12.72
0.75,0.25,0.25,0,0,0,11.866
0,0.75,0.25,0,0,0,12.293
0.25,0.75,0.25,0,0,0,11.866
0.75,0.75,0.25,0,0,0,11.013
0,0,0.75,0,0,0,12.72
0.25,0,0.75,0,0,0,12.293
0.75,0,0.75,0,0,0,11.439
0,0.25,0.75,0,0,0,12.293
0.25,0.25,0.75,0,0,0,11.866
0.75,0.25,0.75,0,0,0,11.013
0,0.75,0.75,0,0,0,11.439
0.25,0.75,0.75,0,0,0,11.013
0.75,0.75,0.75,0,0,0,10.159
0,0,0,0.25,0,0,13.573
0.25,0,0,0.25,0,0,13.146
0.75,0,0,0.25,0,0,12.293
0,0.25,0,0.25,0,0,13.146
0.25,0.25,0,0.25,0,0,12.72
0.75,0.25,0,0.25,0,0,11.866
0,0.75,0,0.25,0,0,12.293
0.25,0.75,0,0.25,0,0,11.866
0.75,0.75,0,0.25,0,0,11.013
0,0,0.25,0.25,0,0,13.146
0.25,0,0.25,0.25,0,0,12.72
0.75,0,0.25,0.25,0,0,11.866
0,0.25,0.25,0.25,0,0,12.72
0.25,0.25,0.25,0.25,0,0,12.293
0.75,0.25,0.25,0.25,0,0,11.439
0,0.75,0.25,0.25,0,0,11.866
0.25,0.75,0.25,0.25,0,0,11.439
0.75,0.75,0.25,0.25,0,0,10.586
0,0,0.75,0.25,0,0,12.293
0.25,0,0.75,0.25,0,0,11.866
0.75,0,0.75,0.25,0,0,11.013
0,0.25,0.75,0.25,0,0,11.866
0.25,0.25,0.75,0.25,0,0,11.439
0.75,0.25,0.75,0.25,0,0,10.586
0,0.75,0.75,0.25,0,0,11.013
0.25,0.75,0.75,0.25,0,0,10.586
0.75,0.75,0.75,0.25,0,0,9.7322
0,0,0,0.75,0,0,12.72
0.25,0,0,0.75,0,0,12.293
0.75,0,0,0.75,0,0,11.439
0,0.25,0,0.75,0,0,12.293
0.25,0.25,0,0.75,0,0,11.866
0.75,0.25,0,0.75,0,0,11.013
0,0.75,0,0.75,0,0,11.439
0.25,0.75,0,0.75,0,0,11.013
0.75,0.75,0,0.75,0,0,10.159
0,0,0.25,0.75,0,0,12.293
0.25,0,0.25,0.75,0,0,11.866
0.75,0,0.25,0.75,0,0,11.013
0,0.25,0.25,0.75,0,0,11.866
0.25,0.25,0.25,0.75,0,0,11.439
0.75,0.25,0.25,0.75,0,0,10.586
0,0.75,0.25,0.75,0,0,11.013
0.25,0.75,0.25,0.75,0,0,10.586
0.75,0.75,0.25,0.75,0,0,9.7322
0,0,0.75,0.75,0,0,11.439
0.25,0,0.75,0.75,0,0,11.013
0.75,0,0.75,0.75,0,0,10.159
0,0.25,0.75,0.75,0,0,11.013
0.25,0.25,0.75,0.75,0,0,10.586
0.75,0.25,0.75,0.75,0,0,9.7322
0,0.75,0.75,0.75,0,0,10.159
0.25,0.75,0.75,0.75,0,0,9.7322
0.75,0.75,0.75,0.75,0,0,8.8787
0,0,0,0,0.25,0,13.573
0.25,0,0,0,0.25,0,13.146
0.75,0,0,0,0.25,0,12.293
0,0.25,0,0,0.25,0,13.146
0.25,0.25,0,0,0.25,0,12.72
0.75,0.25,0,0,0.25,0,11.866
0,0.75,0,0,0.25,0,12.293
0.25,0.75,0,0,0.25,0,11.866
0.75,0.75,0,0,0.25,0,11.013
0,0,0.25,0,0.25,0,13.146
0.25,0,0.25,0,0.25,0,12.72
0.75,0,0.25,0,0.25,0,11.866
0,0.25,0.25,0,0.25,0,12.72
0.25,0.25,0.25,0,0.25,0,12.293
0.75,0.25,0.25,0,0.25,0,11.439
0,0.75,0.25,0,0.25,0,11.866
0.25,0.75,0.25,0,0.25,0,11.439
0.75,0.75,0.25,0,0.25,0,10.586
0,0,0.75,0,0.25,0,12.293
0.25,0,0.75,0,0.25,0,11.866
0.75,0,0.75,0,0.25,0,11.013
0,0.25,0.75,0,0.25,0,11.866
0.25,0.25,0.75,0,0.25,0,11.439
0.75,0.25,0.75,0,0.25,0,10.586
0,0.75,0.75,0,0.25,0,11.013
0.25,0.75,0.75,0,0.25,0,10.586
0.75,0.75,0.75,0,0.25,0,9.7322
0,0,0,0.25,0.25,0,13.146
0.25,0,0,0.25,0.25,0,12.72
0.75,0,0,0.25,0.25,0,11.866
0,0.25,0,0.25,0.25,0,12.72
0.25,0.25,0,0.25,0.25,0,12.293
0.75,0.25,0,0.25,0.25,0,11.439
0,0.75,0,0.25,0.25,0,11.866
0.25,0.75,0,0.25,0.25,0,11.439
0.75,0.75,0,0.25,0.25,0,10.586
0,0,0.25,0.25,0.25,0,12.72
0.25,0,0.25,0.25,0.25,0,12.293
0.75,0,0.25,0.25,0.25,0,11.439
0,0.25,0.25,0.25,0.25,0,12.293
0.25,0.25,0.25,0.25,0.25,0,11.866
0.75,0.25,0.25,0.25,0.25,0,11.013
0,0.75,0.25,0.25,0.25,0,11.439
0.25,0.75,0.25,0.25,0.25,0,11.013
0.75,0.75,0.25,0.25,0.25,0,10.159
0,0,0.75,0.25,0.25,0,11.866
0.25,0,0.75,0.25,0.25,0,11.439
0.75,0,0.75,0.25,0.25,0,10.586
0,0.25,0.75,0.25,0.25,0,11.439
0.25,0.25,0.75,0.25,0.25,0,11.013
0.75,0.25,0.75,0.25,0.25,0,10.159
0,0.75,0.75,0.25,0.25,0,10.586
0.25,0.75,0.75,0.25,0.25,0,10.159
0.75,0.75,0.75,0.25,0.25,0,9.3055
0,0,0,0.75,0.25,0,12.293
0.25,0,0,0.75,0.25,0,11.866
0.75,0,0,0.75,0.25,0,11.013
0,0.25,0,0.75,0.25,0,11.866
0.25,0.25,0,0.75,0.25,0,11.439
0.75,0.25,0,0.75,0.25,0,10.586
0,0.75,0,0.75,0.25,0,11.013
0.25,0.75,0,0.75,0.25,0,10.586
0.75,0.75,0,0.75,0.25,0,9.7322
0,0,0.25,0.75,0.25,0,11.866
0.25,0,0.25,0.75,0.25,0,11.439
0.75,0,0.25,0.75,0.25,0,10.586
